(61, 1197)
(61, 2304)
(94, 1777)
(94, 2074)
(94, 2491)
(95, 1776)
(95, 2492)
(476, 1899)
(476, 2575)
(477, 1900)
(477, 2196)
(477, 2574)
(478, 2573)
(586, 516)
(587, 517)
(587, 867)
(587, 1389)
(1374, 2195)
(1375, 1900)
(1375, 2196)
(1375, 2574)
(1376, 2197)
(2020, 2280)
(2021, 757)
(2021, 944)
(2021, 2279)
(2022, 756)
(2393, 721)
(2393, 997)
(2694, 18)
(2694, 39)
(2694, 2231)
(2695, 38)
(2770, 2409)
(2771, 1030)
(2771, 1358)
(2771, 2410)
(2832, 757)
(2832, 944)
(2832, 2279)
(3275, 658)
(3276, 659)
(3277, 90)
(3277, 660)
(3277, 1988)
(3278, 89)
(3278, 661)
(3427, 1221)
(3427, 3116)
(3427, 3175)
(3428, 3176)
(3429, 3177)
(3430, 3178)
(3431, 3179)
(3657, 659)
(3658, 90)
(3658, 660)
(3658, 1988)
(3659, 89)
(3659, 661)
(4700, 546)
(4700, 2095)
(4852, 1030)
(4852, 1358)
(4852, 2410)
(4867, 3173)
(4868, 3174)
(4869, 1221)
(4869, 3116)
(4869, 3175)
(4870, 3115)
(5148, 1483)
(5149, 198)
(5149, 1409)
(5149, 1484)
(5361, 1197)
(5361, 2304)
(5667, 1835)
(5668, 1836)
(5669, 1837)
(6449, 1863)
(6450, 1864)
(6451, 1865)
(6452, 1312)
(6452, 1573)
(6452, 1866)
(6842, 301)
(6842, 804)
(6843, 803)
(7125, 18)
(7125, 39)
(7125, 2231)
(7126, 38)
(8189, 3050)
(8190, 2644)
(8190, 3051)
(8191, 2643)
(8283, 546)
(8283, 2095)
(8359, 273)
(8359, 1457)
(8813, 1958)
(8895, 2153)
(8958, 247)
(8959, 2559)
(8975, 1900)
(8975, 2196)
(8975, 2574)
(8976, 2197)
(9369, 517)
(9369, 867)
(9369, 1389)
(9411, 355)
(9411, 2009)
(9439, 1456)
(9440, 273)
(9440, 1457)
(9441, 272)
(9462, 172)
(9462, 432)
(9723, 1110)
(9723, 1144)
(9723, 2814)
(9835, 721)
(9835, 997)
(9961, 2644)
(9961, 3051)
(9962, 2643)
(10507, 2978)
(10508, 2676)
(10508, 2977)
(10717, 594)
(10718, 595)
(10753, 2839)
(10754, 2840)
(10754, 3133)
(10755, 2841)
(10755, 3134)
(10756, 2842)
(11116, 1312)
(11116, 1573)
(11116, 1866)
(11145, 301)
(11145, 804)
(11253, 757)
(11253, 944)
(11253, 2279)
(11275, 18)
(11275, 39)
(11275, 2231)
(11276, 38)
(11326, 394)
(11326, 1276)
(11327, 1277)
(11568, 658)
(11569, 659)
(11570, 90)
(11570, 660)
(11570, 1988)
(11571, 89)
(11571, 661)
(11878, 198)
(11878, 1409)
(11878, 1484)
(12170, 1030)
(12170, 1358)
(12170, 2410)
(12171, 1357)
(12335, 3174)
(12336, 1221)
(12336, 3116)
(12336, 3175)
(12396, 2129)
(12691, 2699)
(12885, 1483)
(12886, 198)
(12886, 1409)
(12886, 1484)
(12887, 1485)
(12888, 1486)
(13542, 1865)
(13543, 1312)
(13543, 1573)
(13543, 1866)
(13544, 1313)
(13544, 1867)
(13545, 1868)
(13546, 1869)
(14064, 2644)
(14064, 3051)
(14065, 2643)
(14066, 2642)
(14270, 2058)
(14271, 2057)
(14272, 1660)
(14272, 2056)
(14273, 2055)
(14985, 739)
(15294, 394)
(15294, 1276)
(15452, 246)
(15495, 1923)
(15880, 172)
(15880, 432)
(15917, 846)
(17488, 517)
(17488, 867)
(17488, 1389)
(17489, 868)
(17490, 869)
(17809, 2751)
(17851, 356)
(17852, 355)
(17852, 2009)
(18308, 1777)
(18308, 2074)
(18308, 2491)
(18456, 1836)
(18834, 1802)
(19349, 1706)
(19644, 1145)
(19645, 1110)
(19645, 1144)
(19645, 2814)
(19646, 1143)
(19646, 2813)
(19870, 2839)
(20097, 2129)
(20532, 2057)
(20533, 1660)
(20533, 2056)
(20578, 2073)
(20579, 1777)
(20579, 2074)
(20579, 2491)
(20580, 1776)
(20580, 2492)
(20581, 1775)
(20581, 2493)
